BUDGETUNIT,SCHOOLID,SCHOOLNAME,SCHOOLADDR,GOVERNANCE,COLLABORAT,GEOGRAPHIC,MANAGEDBYN,CPSUNIT,1314_NCES,1314_CPS U,1314_ISBE,1314_Oracl,1314_Class,1314_Schoo,1314_S_Typ,1314_Sch_1,1314_Gover,1314_Chart,1314_Grade,1314_Atten,1314_Progr,1314_Ward,1314_Commu,1314_Com_1,1314_IL Se,1314_IL Re,1314_US Co,1314_Geogr,1314_Geo_1,1314_Cook,1314_Censu,X,Y,Location 1
U63011,400009,GLOBAL CITIZENSHIP CHTR,4647 W 47th St,Charter,Network 8,Network 8,Charter,2025,170993006035,2025,15016299025229C,63011,CPS,Charter,Charter,ES,Charter,Non-replicating  Charters,ES,K-6th,NA||,23,56,Garfield Ridge,1,1,3,McKinley Park,17,11,170315604001001,-87.740097436138299,41.807578507967058,"4647 W 47th St
(41.807578507967, -87.74009743613)"
U66291,400010,ACE TECHNICAL CHTR HS,5410 S State St,Charter,Network 9,Network 9,Charter,7950,170993005684,7950,15016299025009C,66291,CPS,Charter,Charter,HS,Charter,Non-replicating  Charters,HS,9th-12th,NA||,3,40,Washington Park,3,5,7,Bronzeville,15,2,170318361002000,-87.625849037068903,41.796121509950403,"5410 S State St
(41.796121509950, -87.62584903706)"
U66151,400011,"LOCKE, A CHTR",3141 W Jackson Blvd,Charter,Network 5,Network 5,Charter,4730,170993003564,4730,15016299025206C,66151,CPS,Charter,Charter,ES,Charter,Original Replicating Charters,ES,PK-8th,NA||,28,27,East Garfield Park,5,10,7,Garfield - West Humboldt,20,2,170312712001023,-87.705234526259488,41.877248352992105,"3141 W Jackson Blvd
(41.877248352992, -87.70523452625)"
U66551,400012,AMANDLA CHTR HS,6800 S Stewart Ave,Charter,Network 11,Network 11,Charter,2035,170993005986,2035,15016299025227C,66551,CPS,Charter,Charter,HS,Charter,Non-replicating  Charters,ES-HS,5th-10th,NA||,6,68,Englewood,16,32,1,Englewood,4,3,170316812003013,-87.635471569266358,41.770802254890768,"6800 S Stewart Ave
(41.770802254890, -87.63547156926)"
U66254,400013,ASPIRA CHTR - EARLY COLLEGE HS,3986 W Barry Ave,Charter,Network 4,Network 4,Charter,7803,170993005663,7803,15016299025008C,66254,CPS,Charter,Charter,HS,Charter,Original Replicating Charters,HS,9th-12th,NA||,31,21,Avondale,20,39,4,Logan,9,8,170312105012024,-87.727137154528961,41.937296122408,"3986 W Barry Ave
(41.937296122408, -87.72713715452)"
U66251,400015,ASPIRA CHTR - RAMIREZ HS,1711 N California Ave,Charter,Network 5,Network 5,Charter,7800,170993005663,7800,15016299025008C,66251,CPS,Charter,Charter,HS,Charter,Original Replicating Charters,HS,9th-12th,NA||,1,24,West Town,2,4,4,Humboldt Park,21,8,170312407001004,-87.695521830102891,41.912497607519747,"1711 N California Ave
(41.912497607519, -87.69552183010)"
U66351,400017,ASPIRA CHTR - HAUGAN,3729 W Leland Ave,Charter,Network 1,Network 1,Charter,3500,170993005663,3500,15016299025008C,66351,CPS,Charter,Charter,MS,Charter,Original Replicating Charters,ES,6th-8th,NA||,39,14,Albany Park,20,40,4,Albany Irving,27,8,170311406023008,-87.721824665580826,41.966405668114739,"3729 W Leland Ave
(41.966405668114, -87.72182466558)"
U66411,400018,AUSTIN BUS & ENTRP HS,231 N Pine Ave,District,Network 3,Network 3,Network 3,7020,170993099980,7020,150162990250839,66411,CPS,Regular,"District, non-alternative",HS,District,,HS,9th-12th,NA||,28,25,Austin,4,8,7,Austin,25,1,170312519003008,-87.761891016890431,41.88420467213534,"231 N Pine Ave
(41.884204672135, -87.76189101689)"
U66421,400019,BRONZEVILLE LIGHTHOUSE CHTR,8 W Root St,Charter,Network 9,Network 9,Charter,3990,170993099983,3990,15016299025222C,66421,CPS,Charter,Charter,ES,Charter,Non-replicating  Charters,ES,K-8th,NA||,3,38,Grand Boulevard,3,5,7,Bronzeville,15,3,170313805001006,-87.626621801472865,41.819276611211805,"8 W Root St
(41.819276611211, -87.62662180147)"
U66431,400020,CATALYST CHTR - HOWLAND,1616 S Spaulding Ave,Charter,Network 5,Network 5,Charter,4370,170993099982,4370,15016299025223C,66431,CPS,Charter,Charter,ES,Charter,Non-replicating  Charters Multi-charter,ES,K-8th,NA||,24,29,North Lawndale,5,9,7,North Lawndale,19,2,170318415002021,-87.707698518833126,41.858553288660204,"1616 S Spaulding Ave
(41.858553288660, -87.70769851883)"
